"date","fsa","hot_spot_fsa","metric","value"
2021-03-29,"K1K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1K",0,"cum_deaths_per_1000",NA
2021-03-29,"K1L",0,"cum_cases_per_100",1.42524724
2021-03-29,"K1L",0,"cum_hospitalizations_deaths_per_1000",1.55128950940469
2021-03-29,"K1L",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1L",0,"cum_deaths_per_1000",NA
2021-03-29,"K1M",0,"cum_cases_per_100",1.04503608
2021-03-29,"K1M",0,"cum_hospitalizations_deaths_per_1000",1.49290868375218
2021-03-29,"K1M",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1M",0,"cum_deaths_per_1000",NA
2021-03-29,"K1N",0,"cum_cases_per_100",2.11871366
2021-03-29,"K1N",0,"cum_hospitalizations_deaths_per_1000",1.18253785763558
2021-03-29,"K1N",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1N",0,"cum_deaths_per_1000",NA
2021-03-29,"K1P",0,"cum_cases_per_100",0.92226614
2021-03-29,"K1P",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K1P",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1P",0,"cum_deaths_per_1000",NA
2021-03-29,"K1R",0,"cum_cases_per_100",0.9558888
2021-03-29,"K1R",0,"cum_hospitalizations_deaths_per_1000",0.52617732175743
2021-03-29,"K1R",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1R",0,"cum_deaths_per_1000",NA
2021-03-29,"K1S",0,"cum_cases_per_100",0.91560391
2021-03-29,"K1S",0,"cum_hospitalizations_deaths_per_1000",0.32700139718779
2021-03-29,"K1S",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1S",0,"cum_deaths_per_1000",NA
2021-03-29,"K1T",1,"cum_cases_per_100",2.3788325
2021-03-29,"K1T",1,"cum_hospitalizations_deaths_per_1000",0.95883843572358
2021-03-29,"K1T",1,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1T",1,"cum_deaths_per_1000",NA
2021-03-29,"K1V",1,"cum_cases_per_100",2.1307816
2021-03-29,"K1V",1,"cum_hospitalizations_deaths_per_1000",0.68684535052528
2021-03-29,"K1V",1,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1V",1,"cum_deaths_per_1000",NA
2021-03-29,"K1W",0,"cum_cases_per_100",2.14586052
2021-03-29,"K1W",0,"cum_hospitalizations_deaths_per_1000",0.50746701464405
2021-03-29,"K1W",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1W",0,"cum_deaths_per_1000",NA
2021-03-29,"K1X",0,"cum_cases_per_100",1.10115237
2021-03-29,"K1X",0,"cum_hospitalizations_deaths_per_1000",0.76824583866837
2021-03-29,"K1X",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1X",0,"cum_deaths_per_1000",NA
2021-03-29,"K1Y",0,"cum_cases_per_100",0.73444144
2021-03-29,"K1Y",0,"cum_hospitalizations_deaths_per_1000",0.4294979169351
2021-03-29,"K1Y",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1Y",0,"cum_deaths_per_1000",NA
2021-03-29,"K1Z",0,"cum_cases_per_100",1.40477858
2021-03-29,"K1Z",0,"cum_hospitalizations_deaths_per_1000",0.81718421667056
2021-03-29,"K1Z",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K1Z",0,"cum_deaths_per_1000",NA
2021-03-29,"K2A",0,"cum_cases_per_100",0.71216926
2021-03-29,"K2A",0,"cum_hospitalizations_deaths_per_1000",0.67578104694079
2021-03-29,"K2A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2A",0,"cum_deaths_per_1000",NA
2021-03-29,"K2B",0,"cum_cases_per_100",1.8183231
2021-03-29,"K2B",0,"cum_hospitalizations_deaths_per_1000",0.90657134716502
2021-03-29,"K2B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2B",0,"cum_deaths_per_1000",NA
2021-03-29,"K2C",0,"cum_cases_per_100",1.30742164
2021-03-29,"K2C",0,"cum_hospitalizations_deaths_per_1000",0.90389643929367
2021-03-29,"K2C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2C",0,"cum_deaths_per_1000",NA
2021-03-29,"K2E",0,"cum_cases_per_100",1.43803814
2021-03-29,"K2E",0,"cum_hospitalizations_deaths_per_1000",0.72127304692783
2021-03-29,"K2E",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2E",0,"cum_deaths_per_1000",NA
2021-03-29,"K2G",0,"cum_cases_per_100",1.25546144
2021-03-29,"K2G",0,"cum_hospitalizations_deaths_per_1000",0.48149799375836
2021-03-29,"K2G",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2G",0,"cum_deaths_per_1000",NA
2021-03-29,"K2H",0,"cum_cases_per_100",1.14428871
2021-03-29,"K2H",0,"cum_hospitalizations_deaths_per_1000",1.25262373891259
2021-03-29,"K2H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2H",0,"cum_deaths_per_1000",NA
2021-03-29,"K2J",0,"cum_cases_per_100",1.14354779
2021-03-29,"K2J",0,"cum_hospitalizations_deaths_per_1000",0.383506879881
2021-03-29,"K2J",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2J",0,"cum_deaths_per_1000",NA
2021-03-29,"K2K",0,"cum_cases_per_100",0.68488315
2021-03-29,"K2K",0,"cum_hospitalizations_deaths_per_1000",0.31772929464097
2021-03-29,"K2K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2K",0,"cum_deaths_per_1000",NA
2021-03-29,"K2L",0,"cum_cases_per_100",0.83505303
2021-03-29,"K2L",0,"cum_hospitalizations_deaths_per_1000",0.95983106973173
2021-03-29,"K2L",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2L",0,"cum_deaths_per_1000",NA
2021-03-29,"K2M",0,"cum_cases_per_100",0.89406155
2021-03-29,"K2M",0,"cum_hospitalizations_deaths_per_1000",0.18822348401669
2021-03-29,"K2M",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2M",0,"cum_deaths_per_1000",NA
2021-03-29,"K2P",0,"cum_cases_per_100",1.07607234
2021-03-29,"K2P",0,"cum_hospitalizations_deaths_per_1000",0.54799980072735
2021-03-29,"K2P",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2P",0,"cum_deaths_per_1000",NA
2021-03-29,"K2R",0,"cum_cases_per_100",0.87082729
2021-03-29,"K2R",0,"cum_hospitalizations_deaths_per_1000",2.17706821480406
2021-03-29,"K2R",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2R",0,"cum_deaths_per_1000",NA
2021-03-29,"K2S",0,"cum_cases_per_100",0.96565181
2021-03-29,"K2S",0,"cum_hospitalizations_deaths_per_1000",0.35023640957646
2021-03-29,"K2S",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2S",0,"cum_deaths_per_1000",NA
2021-03-29,"K2T",0,"cum_cases_per_100",0.50142714
2021-03-29,"K2T",0,"cum_hospitalizations_deaths_per_1000",0.23142791020597
2021-03-29,"K2T",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2T",0,"cum_deaths_per_1000",NA
2021-03-29,"K2V",1,"cum_cases_per_100",1.61099266
2021-03-29,"K2V",1,"cum_hospitalizations_deaths_per_1000",0.35536602700782
2021-03-29,"K2V",1,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2V",1,"cum_deaths_per_1000",NA
2021-03-29,"K2W",0,"cum_cases_per_100",0.92417559
2021-03-29,"K2W",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K2W",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K2W",0,"cum_deaths_per_1000",NA
2021-03-29,"K4A",0,"cum_cases_per_100",1.70136048
2021-03-29,"K4A",0,"cum_hospitalizations_deaths_per_1000",0.74235675544647
2021-03-29,"K4A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4A",0,"cum_deaths_per_1000",NA
2021-03-29,"K4B",0,"cum_cases_per_100",1.171875
2021-03-29,"K4B",0,"cum_hospitalizations_deaths_per_1000",0.5859375
2021-03-29,"K4B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4B",0,"cum_deaths_per_1000",NA
2021-03-29,"K4C",0,"cum_cases_per_100",1.41327623
2021-03-29,"K4C",0,"cum_hospitalizations_deaths_per_1000",0.6423982869379
2021-03-29,"K4C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4C",0,"cum_deaths_per_1000",NA
2021-03-29,"K4K",0,"cum_cases_per_100",1.20461863
2021-03-29,"K4K",0,"cum_hospitalizations_deaths_per_1000",0.55512379260575
2021-03-29,"K4K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4K",0,"cum_deaths_per_1000",NA
2021-03-29,"K4M",0,"cum_cases_per_100",0.81422756
2021-03-29,"K4M",0,"cum_hospitalizations_deaths_per_1000",0.42854081851296
2021-03-29,"K4M",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4M",0,"cum_deaths_per_1000",NA
2021-03-29,"K4P",0,"cum_cases_per_100",1.17593018
2021-03-29,"K4P",0,"cum_hospitalizations_deaths_per_1000",0.82682590721176
2021-03-29,"K4P",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4P",0,"cum_deaths_per_1000",NA
2021-03-29,"K4R",0,"cum_cases_per_100",1.17288824
2021-03-29,"K4R",0,"cum_hospitalizations_deaths_per_1000",0.33833314537047
2021-03-29,"K4R",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K4R",0,"cum_deaths_per_1000",NA
2021-03-29,"K6A",0,"cum_cases_per_100",1.2251257
2021-03-29,"K6A",0,"cum_hospitalizations_deaths_per_1000",1.20388074498973
2021-03-29,"K6A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K6A",0,"cum_deaths_per_1000",NA
2021-03-29,"K6H",0,"cum_cases_per_100",1.84848985
2021-03-29,"K6H",0,"cum_hospitalizations_deaths_per_1000",1.29284260328987
2021-03-29,"K6H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K6H",0,"cum_deaths_per_1000",NA
2021-03-29,"K6J",0,"cum_cases_per_100",1.45116668
2021-03-29,"K6J",0,"cum_hospitalizations_deaths_per_1000",1.40940648326982
2021-03-29,"K6J",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K6J",0,"cum_deaths_per_1000",NA
2021-03-29,"K6K",0,"cum_cases_per_100",1.29833474
2021-03-29,"K6K",0,"cum_hospitalizations_deaths_per_1000",0.8467400508044
2021-03-29,"K6K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K6K",0,"cum_deaths_per_1000",NA
2021-03-29,"K6T",0,"cum_cases_per_100",0.46082949
2021-03-29,"K6T",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K6T",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K6T",0,"cum_deaths_per_1000",NA
2021-03-29,"K6V",0,"cum_cases_per_100",0.23673442
2021-03-29,"K6V",0,"cum_hospitalizations_deaths_per_1000",0.10145760762961
2021-03-29,"K6V",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K6V",0,"cum_deaths_per_1000",NA
2021-03-29,"K7A",0,"cum_cases_per_100",0.70761087
2021-03-29,"K7A",0,"cum_hospitalizations_deaths_per_1000",0.5941770647653
2021-03-29,"K7A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7A",0,"cum_deaths_per_1000",NA
2021-03-29,"K7C",0,"cum_cases_per_100",0.61752219
2021-03-29,"K7C",0,"cum_hospitalizations_deaths_per_1000",0.38595137012736
2021-03-29,"K7C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7C",0,"cum_deaths_per_1000",NA
2021-03-29,"K7G",0,"cum_cases_per_100",0.82946251
2021-03-29,"K7G",0,"cum_hospitalizations_deaths_per_1000",0.33178500331785
2021-03-29,"K7G",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7G",0,"cum_deaths_per_1000",NA
2021-03-29,"K7H",0,"cum_cases_per_100",1.40002393
2021-03-29,"K7H",0,"cum_hospitalizations_deaths_per_1000",1.7350723943999
2021-03-29,"K7H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7H",0,"cum_deaths_per_1000",NA
2021-03-29,"K7K",0,"cum_cases_per_100",0.33280686
2021-03-29,"K7K",0,"cum_hospitalizations_deaths_per_1000",0.0846119133574
2021-03-29,"K7K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7K",0,"cum_deaths_per_1000",NA
2021-03-29,"K7L",0,"cum_cases_per_100",1.07662122
2021-03-29,"K7L",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K7L",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7L",0,"cum_deaths_per_1000",NA
2021-03-29,"K7M",0,"cum_cases_per_100",0.32594145
2021-03-29,"K7M",0,"cum_hospitalizations_deaths_per_1000",0.135808936228
2021-03-29,"K7M",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7M",0,"cum_deaths_per_1000",NA
2021-03-29,"K7N",0,"cum_cases_per_100",0.29348685
2021-03-29,"K7N",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K7N",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7N",0,"cum_deaths_per_1000",NA
2021-03-29,"K7P",0,"cum_cases_per_100",0.37686002
2021-03-29,"K7P",0,"cum_hospitalizations_deaths_per_1000",0.11655464470259
2021-03-29,"K7P",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7P",0,"cum_deaths_per_1000",NA
2021-03-29,"K7R",0,"cum_cases_per_100",0.24904215
2021-03-29,"K7R",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K7R",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7R",0,"cum_deaths_per_1000",NA
2021-03-29,"K7S",0,"cum_cases_per_100",0.40016278
2021-03-29,"K7S",0,"cum_hospitalizations_deaths_per_1000",0.20347259902333
2021-03-29,"K7S",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7S",0,"cum_deaths_per_1000",NA
2021-03-29,"K7V",0,"cum_cases_per_100",0.40063549
2021-03-29,"K7V",0,"cum_hospitalizations_deaths_per_1000",0.20722525385094
2021-03-29,"K7V",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K7V",0,"cum_deaths_per_1000",NA
2021-03-29,"K8A",0,"cum_cases_per_100",0.35035035
2021-03-29,"K8A",0,"cum_hospitalizations_deaths_per_1000",0.21450021450021
2021-03-29,"K8A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8A",0,"cum_deaths_per_1000",NA
2021-03-29,"K8B",0,"cum_cases_per_100",0.60851927
2021-03-29,"K8B",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K8B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8B",0,"cum_deaths_per_1000",NA
2021-03-29,"K8H",0,"cum_cases_per_100",0.38103014
2021-03-29,"K8H",0,"cum_hospitalizations_deaths_per_1000",0.20412329046744
2021-03-29,"K8H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8H",0,"cum_deaths_per_1000",NA
2021-03-29,"K8N",0,"cum_cases_per_100",0.29029794
2021-03-29,"K8N",0,"cum_hospitalizations_deaths_per_1000",0.0916730328495
2021-03-29,"K8N",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8N",0,"cum_deaths_per_1000",NA
2021-03-29,"K8P",0,"cum_cases_per_100",0.22499063
2021-03-29,"K8P",0,"cum_hospitalizations_deaths_per_1000",0.12499479188367
2021-03-29,"K8P",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8P",0,"cum_deaths_per_1000",NA
2021-03-29,"K8R",0,"cum_cases_per_100",0.31729244
2021-03-29,"K8R",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"K8R",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8R",0,"cum_deaths_per_1000",NA
2021-03-29,"K8V",0,"cum_cases_per_100",0.25714568
2021-03-29,"K8V",0,"cum_hospitalizations_deaths_per_1000",0.0989021857383
2021-03-29,"K8V",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K8V",0,"cum_deaths_per_1000",NA
2021-03-29,"K9A",0,"cum_cases_per_100",0.5523703
2021-03-29,"K9A",0,"cum_hospitalizations_deaths_per_1000",0.31464130890785
2021-03-29,"K9A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K9A",0,"cum_deaths_per_1000",NA
2021-03-29,"K9H",0,"cum_cases_per_100",0.49353247
2021-03-29,"K9H",0,"cum_hospitalizations_deaths_per_1000",0.35482726363666
2021-03-29,"K9H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K9H",0,"cum_deaths_per_1000",NA
2021-03-29,"K9J",0,"cum_cases_per_100",0.42091596
2021-03-29,"K9J",0,"cum_hospitalizations_deaths_per_1000",0.33505748329948
2021-03-29,"K9J",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K9J",0,"cum_deaths_per_1000",NA
2021-03-29,"K9K",0,"cum_cases_per_100",0.70743153
2021-03-29,"K9K",0,"cum_hospitalizations_deaths_per_1000",0.2101281781887
2021-03-29,"K9K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K9K",0,"cum_deaths_per_1000",NA
2021-03-29,"K9L",0,"cum_cases_per_100",0.3109304
2021-03-29,"K9L",0,"cum_hospitalizations_deaths_per_1000",0.35876584549151
2021-03-29,"K9L",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K9L",0,"cum_deaths_per_1000",NA
2021-03-29,"K9V",0,"cum_cases_per_100",0.54945055
2021-03-29,"K9V",0,"cum_hospitalizations_deaths_per_1000",0.29611107455419
2021-03-29,"K9V",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"K9V",0,"cum_deaths_per_1000",NA
2021-03-29,"L0A",0,"cum_cases_per_100",0.46678862
2021-03-29,"L0A",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"L0A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0A",0,"cum_deaths_per_1000",NA
2021-03-29,"L0B",0,"cum_cases_per_100",0.80071174
2021-03-29,"L0B",0,"cum_hospitalizations_deaths_per_1000",0.59311981020166
2021-03-29,"L0B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0B",0,"cum_deaths_per_1000",NA
2021-03-29,"L0C",0,"cum_cases_per_100",0.72185244
2021-03-29,"L0C",0,"cum_hospitalizations_deaths_per_1000",0.65622949282835
2021-03-29,"L0C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0C",0,"cum_deaths_per_1000",NA
2021-03-29,"L0E",0,"cum_cases_per_100",1.1098403
2021-03-29,"L0E",0,"cum_hospitalizations_deaths_per_1000",0.63540475282755
2021-03-29,"L0E",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0E",0,"cum_deaths_per_1000",NA
2021-03-29,"L0G",0,"cum_cases_per_100",1.91723266
2021-03-29,"L0G",0,"cum_hospitalizations_deaths_per_1000",0.91782414489384
2021-03-29,"L0G",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0G",0,"cum_deaths_per_1000",NA
2021-03-29,"L0H",0,"cum_cases_per_100",1.48926851
2021-03-29,"L0H",0,"cum_hospitalizations_deaths_per_1000",0
2021-03-29,"L0H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0H",0,"cum_deaths_per_1000",NA
2021-03-29,"L0J",1,"cum_cases_per_100",3.27560241
2021-03-29,"L0J",1,"cum_hospitalizations_deaths_per_1000",1.50602409638554
2021-03-29,"L0J",1,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0J",1,"cum_deaths_per_1000",NA
2021-03-29,"L0K",0,"cum_cases_per_100",0.47511878
2021-03-29,"L0K",0,"cum_hospitalizations_deaths_per_1000",0.35008752188047
2021-03-29,"L0K",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0K",0,"cum_deaths_per_1000",NA
2021-03-29,"L0L",0,"cum_cases_per_100",0.82835912
2021-03-29,"L0L",0,"cum_hospitalizations_deaths_per_1000",0.46696714987615
2021-03-29,"L0L",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0L",0,"cum_deaths_per_1000",NA
2021-03-29,"L0M",0,"cum_cases_per_100",0.9497863
2021-03-29,"L0M",0,"cum_hospitalizations_deaths_per_1000",0.44989877277613
2021-03-29,"L0M",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0M",0,"cum_deaths_per_1000",NA
2021-03-29,"L0N",0,"cum_cases_per_100",0.93220339
2021-03-29,"L0N",0,"cum_hospitalizations_deaths_per_1000",0.42372881355932
2021-03-29,"L0N",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0N",0,"cum_deaths_per_1000",NA
2021-03-29,"L0P",0,"cum_cases_per_100",1.58561243
2021-03-29,"L0P",0,"cum_hospitalizations_deaths_per_1000",0.63850164946259
2021-03-29,"L0P",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0P",0,"cum_deaths_per_1000",NA
2021-03-29,"L0R",0,"cum_cases_per_100",1.7859215
2021-03-29,"L0R",0,"cum_hospitalizations_deaths_per_1000",0.66457799297446
2021-03-29,"L0R",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0R",0,"cum_deaths_per_1000",NA
2021-03-29,"L0S",0,"cum_cases_per_100",1.25699212
2021-03-29,"L0S",0,"cum_hospitalizations_deaths_per_1000",0.82634121535723
2021-03-29,"L0S",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L0S",0,"cum_deaths_per_1000",NA
2021-03-29,"L1A",0,"cum_cases_per_100",0.47144477
2021-03-29,"L1A",0,"cum_hospitalizations_deaths_per_1000",0.17902965924688
2021-03-29,"L1A",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L1A",0,"cum_deaths_per_1000",NA
2021-03-29,"L1B",0,"cum_cases_per_100",0.98795702
2021-03-29,"L1B",0,"cum_hospitalizations_deaths_per_1000",1.22593206894065
2021-03-29,"L1B",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L1B",0,"cum_deaths_per_1000",NA
2021-03-29,"L1C",0,"cum_cases_per_100",1.04640759
2021-03-29,"L1C",0,"cum_hospitalizations_deaths_per_1000",0.58349865795309
2021-03-29,"L1C",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L1C",0,"cum_deaths_per_1000",NA
2021-03-29,"L1E",0,"cum_cases_per_100",0.99062037
2021-03-29,"L1E",0,"cum_hospitalizations_deaths_per_1000",0.26328780648346
2021-03-29,"L1E",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L1E",0,"cum_deaths_per_1000",NA
2021-03-29,"L1G",0,"cum_cases_per_100",1.26554515
2021-03-29,"L1G",0,"cum_hospitalizations_deaths_per_1000",0.61412936196346
2021-03-29,"L1G",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L1G",0,"cum_deaths_per_1000",NA
2021-03-29,"L1H",0,"cum_cases_per_100",1.2157364
2021-03-29,"L1H",0,"cum_hospitalizations_deaths_per_1000",0.82374662689959
2021-03-29,"L1H",0,"cum_hospitalizations_per_1000",NA
2021-03-29,"L1H",0,"cum_deaths_per_1000",NA
